,name,price1,price2
341,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
342,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
343,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
344,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
345,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
346,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
347,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
348,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
349,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
350,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
351,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
352,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
353,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
354,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
355,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
356,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
357,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
358,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
359,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
360,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
361,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
